362.00,373.00,389.00,406.00,433.00,448.00,454.00,463.00,481.00,484.00,489.00,492.00,488.00,488.00.1,488.00.2,481.00.1,482.00,492.00.1,493.00,492.00.2,499.00,506.00,507.00,508.00,507.00.1,507.00.2,507.00.3,510.00,511.00,509.00,515.00,524.00,544.00,549.00,560.00,576.00,584.00,592.00
,,,,,,,,,337.0,351.0,357.0,362.0,365.0,369.0,382.0,382.0,378.0,377.0,385.0,384.0,391.0,393.0,399.0,395.0,395.0,397.0,393.0,401.0,410.0,428.0,431.0,433.0,436.0,446.0,453.0,456.0,459.0
,,,,,,,,,,345.0,355.0,361.0,364.0,370.0,377.0,372.0,375.0,377.0,384.0,388.0,394.0,399.0,397.0,390.0,385.0,383.0,385.0,390.0,409.0,414.0,419.0,425.0,421.0,437.0,446.0,450.0,453.0
,,,,,,,,,,,352.0,365.0,366.0,374.0,374.0,381.0,381.0,391.0,389.0,389.0,391.0,388.0,387.0,382.0,374.0,369.0,373.0,384.0,394.0,401.0,409.0,413.0,411.0,418.0,438.0,445.0,451.0
,,,,,,,,,,,,363.0,373.0,376.0,383.0,380.0,384.0,392.0,394.0,398.0,396.0,395.0,391.0,380.0,378.0,376.0,372.0,377.0,386.0,395.0,403.0,410.0,409.0,416.0,427.0,448.0,456.0
,,,,,,,,,,,,,388.0,387.0,386.0,392.0,397.0,398.0,399.0,399.0,399.0,399.0,395.0,388.0,386.0,388.0,390.0,383.0,390.0,398.0,407.0,414.0,417.0,429.0,434.0,454.0,462.0
,,,,,,,,,,,,,,398.0,401.0,407.0,413.0,426.0,422.0,415.0,408.0,413.0,409.0,407.0,408.0,413.0,408.0,410.0,408.0,409.0,418.0,429.0,434.0,438.0,456.0,463.0,477.0
,,,,,,,,,,,,,,436.0,443.0,443.0,444.0,432.0,426.0,425.0,418.0,414.0,417.0,415.0,417.0,424.0,429.0,430.0,431.0,430.0,427.0,431.0,435.0,464.0,470.0,483.0,497.0
,,,,,,,,,,,,,,,455.0,461.0,449.0,448.0,440.0,431.0,435.0,437.0,436.0,434.0,421.0,425.0,433.0,450.0,451.0,447.0,449.0,448.0,465.0,474.0,484.0,502.0,522.0
,,,,,,,,,,,,,,,481.0,480.0,480.0,478.0,471.0,454.0,455.0,444.0,450.0,444.0,444.0,439.0,446.0,467.0,475.0,482.0,469.0,468.0,472.0,486.0,496.0,525.0,532.0
,,,,,,,,,,,,,,,493.0,490.0,484.0,484.0,483.0,483.0,472.0,474.0,467.0,466.0,459.0,455.0,458.0,473.0,488.0,491.0,502.0,503.0,501.0,503.0,513.0,523.0,542.0
