358.00,348.00,333.00,329.00,321.00,309.00,298.00,285.00,267.00,252.00,245.00,236.00,227.00,222.00,216.00,220.00,228.00,242.00,259.00,266.00,270.00,270.00.1,263.00,286.00,289.00,289.00.1,303.00,303.00.1,348.00.1,348.00.2,348.00.3,373.00,365.00,365.00.1,365.00.2,344.00,344.00.1,344.00.2,343.00,357.00,357.00.1,366.00
369.0,369.0,353.0,247.0,247.0,247.0,247.0,240.0,240.0,240.0,240.0,240.0,232.0,232.0,232.0,232.0,232.0,206.0,206.0,206.0,205.0,205.0,228.0,228.0,228.0,260.0,260.0,263.0,263.0,286.0,286.0,198.0,198.0,198.0,198.0,198.0,204.0,204.0,204.0,204.0,204.0,204.0
369.0,369.0,369.0,247.0,247.0,247.0,247.0,240.0,240.0,240.0,240.0,241.0,232.0,232.0,232.0,232.0,232.0,232.0,206.0,206.0,205.0,205.0,205.0,228.0,228.0,260.0,260.0,260.0,300.0,300.0,286.0,286.0,250.0,250.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0
369.0,369.0,369.0,247.0,247.0,247.0,247.0,240.0,240.0,240.0,240.0,241.0,232.0,232.0,232.0,232.0,232.0,232.0,206.0,206.0,206.0,205.0,205.0,228.0,228.0,228.0,260.0,308.0,308.0,300.0,300.0,286.0,286.0,250.0,250.0,236.0,198.0,198.0,198.0,198.0,198.0,198.0
369.0,369.0,369.0,247.0,247.0,247.0,247.0,240.0,240.0,240.0,240.0,241.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,206.0,206.0,205.0,205.0,205.0,228.0,228.0,318.0,318.0,308.0,308.0,300.0,300.0,286.0,286.0,250.0,250.0,236.0,236.0,218.0,203.0,203.0,203.0
369.0,369.0,369.0,247.0,247.0,247.0,240.0,240.0,240.0,240.0,240.0,241.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,206.0,206.0,206.0,205.0,205.0,318.0,318.0,318.0,318.0,318.0,308.0,308.0,300.0,300.0,286.0,286.0,250.0,250.0,236.0,236.0,218.0,218.0,203.0
369.0,369.0,369.0,247.0,247.0,247.0,240.0,240.0,240.0,240.0,240.0,241.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,206.0,206.0,205.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,308.0,308.0,300.0,300.0,286.0,286.0,250.0,250.0,236.0,236.0,218.0,218.0
357.0,369.0,369.0,369.0,247.0,247.0,240.0,240.0,240.0,240.0,240.0,241.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,206.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,308.0,308.0,300.0,300.0,286.0,286.0,250.0,250.0,236.0,236.0,218.0
357.0,369.0,369.0,369.0,247.0,247.0,240.0,240.0,240.0,240.0,240.0,241.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,308.0,308.0,300.0,300.0,286.0,286.0,250.0,250.0,236.0,235.0
351.0,369.0,369.0,369.0,247.0,240.0,240.0,240.0,240.0,240.0,240.0,241.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,308.0,308.0,300.0,300.0,286.0,286.0,250.0,240.0,245.0
351.0,357.0,369.0,369.0,247.0,240.0,240.0,240.0,240.0,240.0,240.0,241.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,308.0,308.0,300.0,300.0,286.0,262.0,255.0,256.0
