429.00,429.00.1,429.00.2,429.00.3,429.00.4,429.00.5,429.00.6,429.00.7,429.00.8,429.00.9,429.00.10,429.00.11,406.00,406.00.1,399.00,385.00,382.00,379.00,378.00,389.00,395.00,404.00,411.00,415.00,418.00,411.00.1,405.00,399.00.1,397.00,399.00.2,391.00,382.00.1,381.00,372.00,371.00,371.00.1,373.00,379.00.1,384.00,389.00.1,392.00,378.00.1,385.00.1
362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,386.0,386.0,379.0,379.0,374.0,376.0,397.0,413.0,420.0,433.0,445.0,471.0,478.0,473.0,479.0,479.0,490.0,492.0,503.0,527.0,543.0,553.0,561.0,565.0,567.0,577.0
362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,386.0,386.0,379.0,379.0,357.0,357.0,381.0,378.0,391.0,408.0,419.0,419.0,455.0,468.0,485.0,478.0,504.0,503.0,509.0,533.0,541.0,551.0,567.0,571.0,573.0,574.0,581.0
362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,386.0,386.0,379.0,379.0,357.0,357.0,359.0,359.0,375.0,391.0,396.0,407.0,418.0,453.0,472.0,488.0,503.0,522.0,529.0,537.0,545.0,556.0,564.0,569.0,579.0,581.0,585.0,601.0
,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,386.0,386.0,379.0,379.0,357.0,357.0,359.0,359.0,378.0,378.0,395.0,397.0,402.0,430.0,458.0,480.0,497.0,517.0,536.0,543.0,548.0,565.0,569.0,591.0,584.0,585.0,593.0,599.0,610.0
,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,386.0,386.0,386.0,379.0,379.0,357.0,357.0,359.0,359.0,378.0,378.0,402.0,402.0,405.0,412.0,452.0,471.0,496.0,500.0,527.0,551.0,575.0,574.0,574.0,585.0,591.0,600.0,606.0,606.0,610.0,
,,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,386.0,386.0,379.0,379.0,379.0,357.0,357.0,359.0,359.0,378.0,422.0,422.0,422.0,422.0,427.0,431.0,453.0,474.0,507.0,519.0,543.0,572.0,591.0,597.0,604.0,600.0,604.0,601.0,607.0,605.0,604.0,
,,,362.0,362.0,362.0,362.0,362.0,362.0,362.0,386.0,386.0,379.0,379.0,357.0,357.0,359.0,359.0,359.0,422.0,422.0,422.0,422.0,422.0,449.0,449.0,448.0,474.0,502.0,512.0,542.0,562.0,590.0,598.0,597.0,599.0,604.0,598.0,597.0,601.0,593.0,,
,,,362.0,362.0,362.0,362.0,362.0,362.0,386.0,386.0,379.0,379.0,357.0,357.0,359.0,359.0,422.0,422.0,422.0,422.0,422.0,422.0,449.0,449.0,481.0,481.0,498.0,506.0,526.0,543.0,566.0,585.0,594.0,597.0,592.0,585.0,577.0,571.0,563.0,,,
,,,,362.0,362.0,362.0,362.0,386.0,386.0,379.0,379.0,357.0,357.0,359.0,422.0,422.0,422.0,422.0,422.0,422.0,422.0,449.0,449.0,481.0,481.0,507.0,522.0,525.0,550.0,562.0,572.0,578.0,587.0,586.0,578.0,570.0,561.0,552.0,543.0,,,
,,,,,362.0,362.0,386.0,386.0,379.0,379.0,357.0,357.0,359.0,422.0,422.0,422.0,422.0,422.0,422.0,422.0,449.0,449.0,481.0,528.0,528.0,528.0,545.0,553.0,564.0,567.0,575.0,582.0,585.0,578.0,567.0,555.0,545.0,538.0,,,,
,,,,,362.0,386.0,386.0,379.0,379.0,357.0,357.0,422.0,422.0,422.0,422.0,422.0,422.0,422.0,449.0,449.0,481.0,528.0,528.0,528.0,528.0,528.0,549.0,556.0,564.0,564.0,579.0,573.0,577.0,570.0,558.0,546.0,531.0,,,,,
,,,,,,386.0,379.0,379.0,357.0,422.0,422.0,422.0,422.0,422.0,422.0,422.0,422.0,449.0,449.0,528.0,528.0,528.0,528.0,528.0,528.0,549.0,549.0,551.0,547.0,550.0,550.0,556.0,553.0,554.0,548.0,537.0,524.0,,,,,
,,,,,,,379.0,357.0,422.0,422.0,422.0,422.0,422.0,422.0,422.0,422.0,449.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,549.0,535.0,535.0,535.0,524.0,521.0,518.0,517.0,521.0,523.0,523.0,519.0,,,,,,
,,,,,,,422.0,422.0,422.0,422.0,422.0,422.0,422.0,422.0,422.0,449.0,528.0,528.0,528.0,528.0,528.0,528.0,549.0,535.0,535.0,535.0,535.0,535.0,504.0,499.0,492.0,494.0,498.0,504.0,508.0,,,,,,,
,,,,,,,,422.0,422.0,422.0,422.0,422.0,422.0,422.0,528.0,528.0,528.0,528.0,,,,535.0,535.0,535.0,535.0,535.0,535.0,504.0,504.0,477.0,475.0,478.0,480.0,485.0,495.0,,,,,,,
