longitude,latitude,region_id,tmp,ndvi,年份,year,month
112.965083,24.798167,155,3.825,0.78029996,200301,2003,1
112.97792,24.798167,156,4.35,0.78459996,200301,2003,1
112.875224,24.806637,157,6.925000000000001,0.659,200301,2003,1
112.888061,24.806637,158,6.425000000000001,0.6925,200301,2003,1
112.900898,24.806637,159,5.7,0.7493,200301,2003,1
112.913735,24.806637,160,4.9,0.766,200301,2003,1
112.926572,24.806637,161,4.3500000000000005,0.7696,200301,2003,1
112.939409,24.806637,162,3.85,0.7238,200301,2003,1
112.952246,24.806637,163,3.475,0.7626,200301,2003,1
112.965083,24.806637,164,3.675,0.7626,200301,2003,1
112.97792,24.806637,165,4.325,0.8002,200301,2003,1
112.875224,24.815107,166,7.025,0.719,200301,2003,1
112.888061,24.815107,167,6.525,0.719,200301,2003,1
112.900898,24.815107,168,5.699999999999999,0.754,200301,2003,1
112.913735,24.815107,169,4.85,0.7319,200301,2003,1
112.926572,24.815107,170,4.2,0.7808,200301,2003,1
112.939409,24.815107,171,3.675,0.7366,200301,2003,1
112.952246,24.815107,172,3.475,0.7971,200301,2003,1
112.965083,24.815107,173,4.1000000000000005,0.8002,200301,2003,1
112.875224,24.823577,174,6.775,0.7619,200301,2003,1
112.888061,24.823577,175,6.5,0.78069997,200301,2003,1
112.900898,24.823577,176,5.525,0.78169996,200301,2003,1
112.913735,24.823577,177,4.8,0.79819995,200301,2003,1
112.926572,24.823577,178,4.0,0.8013,200301,2003,1
112.939409,24.823577,179,3.55,0.829,200301,2003,1
112.952246,24.823577,180,3.475,0.6543,200301,2003,1
112.965083,24.823577,181,4.075,0.7675,200301,2003,1
112.888061,24.832047,182,6.525,0.76089996,200301,2003,1
112.900898,24.832047,183,5.375,0.7303,200301,2003,1
112.913735,24.832047,184,5.0,0.75659996,200301,2003,1
112.888061,24.840517,185,6.625,0.7635,200301,2003,1
112.888061,24.848987,186,6.625,0.7467,200301,2003,1
112.952246,24.688057,1,9.725,0.73399997,200302,2003,2
112.965083,24.688057,2,10.175,0.7256,200302,2003,2
112.97792,24.688057,3,10.65,0.55329996,200302,2003,2
112.862387,24.696527,4,10.775,0.5029,200302,2003,2
112.888061,24.696527,5,8.35,0.6415,200302,2003,2
112.939409,24.696527,6,9.0,0.75689995,200302,2003,2
112.952246,24.696527,7,9.45,0.7334,200302,2003,2
112.965083,24.696527,8,10.175,0.7026,200302,2003,2
112.97792,24.696527,9,10.65,0.6598,200302,2003,2
112.990757,24.696527,10,10.7,0.5816,200302,2003,2
113.003594,24.696527,11,10.65,0.6532,200302,2003,2
113.016431,24.696527,12,10.675,0.6146,200302,2003,2
112.84955,24.704997,13,11.025,0.3868,200302,2003,2
