时间步长,经度,纬度,平均温度
1,112.9150553385748,24.77295735849625,8.2
1,112.92338867190811,24.77295735849625,7.6
1,112.93172200524148,24.77295735849625,7.0
1,112.9400553385748,24.77295735849625,6.4
1,112.94838867190816,24.77295735849625,6.3
1,112.95672200524147,24.77295735849625,6.9
1,112.96505533857484,24.77295735849625,7.4
1,112.97338867190815,24.77295735849625,7.7
1,112.98172200524152,24.77295735849625,8.0
1,112.84838867190808,24.76462402516292,10.2
1,112.8567220052414,24.76462402516292,10.0
1,112.86505533857476,24.76462402516292,9.8
1,112.87338867190807,24.76462402516292,9.5
1,112.88172200524144,24.76462402516292,9.1
1,112.89005533857475,24.76462402516292,8.6
1,112.89838867190812,24.76462402516292,8.1
1,112.90672200524143,24.76462402516292,7.7
1,112.9150553385748,24.76462402516292,7.2
1,112.92338867190811,24.76462402516292,6.8
1,112.93172200524148,24.76462402516292,6.1
1,112.9400553385748,24.76462402516292,5.9
1,112.94838867190816,24.76462402516292,6.1
1,112.95672200524147,24.76462402516292,6.6
1,112.96505533857484,24.76462402516292,7.1
1,112.97338867190815,24.76462402516292,7.4
1,112.98172200524152,24.76462402516292,8.0
1,112.84838867190808,24.756290691829584,10.0
1,112.8567220052414,24.756290691829584,9.5
1,112.86505533857476,24.756290691829584,9.6
1,112.87338867190807,24.756290691829584,9.2
1,112.88172200524144,24.756290691829584,8.7
1,112.89005533857475,24.756290691829584,7.9
1,112.89838867190812,24.756290691829584,7.7
1,112.90672200524143,24.756290691829584,7.1
1,112.9150553385748,24.756290691829584,6.6
1,112.92338867190811,24.756290691829584,6.3
1,112.93172200524148,24.756290691829584,6.1
1,112.9400553385748,24.756290691829584,6.5
1,112.94838867190816,24.756290691829584,6.8
1,112.95672200524147,24.756290691829584,7.1
1,112.96505533857484,24.756290691829584,7.4
1,112.97338867190815,24.756290691829584,8.0
1,112.98172200524152,24.756290691829584,8.2
1,112.84838867190808,24.74795735849625,9.4
1,112.8567220052414,24.74795735849625,8.7
1,112.86505533857476,24.74795735849625,8.7
1,112.87338867190807,24.74795735849625,8.5
1,112.88172200524144,24.74795735849625,8.4
1,112.89005533857475,24.74795735849625,8.1
1,112.89838867190812,24.74795735849625,7.8
1,112.90672200524143,24.74795735849625,7.7
1,112.9150553385748,24.74795735849625,7.4
1,112.92338867190811,24.74795735849625,6.9
1,112.93172200524148,24.74795735849625,6.6
1,112.9400553385748,24.74795735849625,6.8
1,112.94838867190816,24.74795735849625,7.0
1,112.95672200524147,24.74795735849625,7.4
1,112.96505533857484,24.74795735849625,7.8
1,112.97338867190815,24.74795735849625,8.2
1,112.98172200524152,24.74795735849625,8.4
1,112.8567220052414,24.73962402516292,8.6
1,112.86505533857476,24.73962402516292,7.8
1,112.87338867190807,24.73962402516292,7.2
1,112.88172200524144,24.73962402516292,7.1
1,112.89005533857475,24.73962402516292,7.3
1,112.89838867190812,24.73962402516292,7.5
1,112.90672200524143,24.73962402516292,7.3
1,112.9150553385748,24.73962402516292,7.0
1,112.92338867190811,24.73962402516292,7.0
1,112.93172200524148,24.73962402516292,6.5
1,112.9400553385748,24.73962402516292,6.4
1,112.94838867190816,24.73962402516292,6.8
1,112.95672200524147,24.73962402516292,7.3
1,112.96505533857484,24.73962402516292,7.8
1,112.97338867190815,24.73962402516292,8.3
1,112.98172200524152,24.73962402516292,8.5
1,112.99005533857483,24.73962402516292,8.5
1,112.9983886719082,24.73962402516292,8.5
1,112.8567220052414,24.731290691829585,8.3
1,112.86505533857476,24.731290691829585,7.7
1,112.87338867190807,24.731290691829585,6.7
1,112.88172200524144,24.731290691829585,6.2
1,112.89005533857475,24.731290691829585,6.2
1,112.89838867190812,24.731290691829585,6.5
1,112.90672200524143,24.731290691829585,6.7
1,112.9150553385748,24.731290691829585,6.7
1,112.92338867190811,24.731290691829585,6.4
1,112.93172200524148,24.731290691829585,6.5
1,112.9400553385748,24.731290691829585,6.9
1,112.94838867190816,24.731290691829585,7.3
1,112.95672200524147,24.731290691829585,7.6
1,112.96505533857484,24.731290691829585,8.0
1,112.97338867190815,24.731290691829585,8.1
1,112.98172200524152,24.731290691829585,8.2
1,112.99005533857483,24.731290691829585,8.4
1,112.9983886719082,24.731290691829585,8.6
1,113.00672200524151,24.731290691829585,8.7
1,112.8567220052414,24.72295735849625,8.1
1,112.86505533857476,24.72295735849625,7.3
1,112.87338867190807,24.72295735849625,6.6
1,112.88172200524144,24.72295735849625,5.9
1,112.89005533857475,24.72295735849625,5.6
1,112.89838867190812,24.72295735849625,5.7
1,112.90672200524143,24.72295735849625,5.8
1,112.9150553385748,24.72295735849625,6.1
1,112.92338867190811,24.72295735849625,6.2
1,112.93172200524148,24.72295735849625,6.4
1,112.9400553385748,24.72295735849625,6.6
1,112.94838867190816,24.72295735849625,7.0
1,112.95672200524147,24.72295735849625,7.4
1,112.96505533857484,24.72295735849625,7.8
1,112.97338867190815,24.72295735849625,8.0
1,112.98172200524152,24.72295735849625,8.3
1,112.99005533857483,24.72295735849625,8.3
1,112.9983886719082,24.72295735849625,8.4
1,113.00672200524151,24.72295735849625,8.6
1,112.84838867190808,24.71462402516292,9.1
1,112.8567220052414,24.71462402516292,8.3
1,112.86505533857476,24.71462402516292,7.6
1,112.87338867190807,24.71462402516292,6.7
1,112.88172200524144,24.71462402516292,5.9
1,112.89005533857475,24.71462402516292,5.7
1,112.89838867190812,24.71462402516292,5.5
1,112.90672200524143,24.71462402516292,6.1
1,112.9150553385748,24.71462402516292,6.4
1,112.92338867190811,24.71462402516292,6.6
1,112.93172200524148,24.71462402516292,6.8
1,112.9400553385748,24.71462402516292,7.0
1,112.94838867190816,24.71462402516292,7.4
1,112.95672200524147,24.71462402516292,7.8
1,112.96505533857484,24.71462402516292,8.2
1,112.97338867190815,24.71462402516292,8.4
1,112.98172200524152,24.71462402516292,8.5
1,112.99005533857483,24.71462402516292,8.5
1,112.9983886719082,24.71462402516292,8.6
1,113.00672200524151,24.71462402516292,8.6
1,112.84838867190808,24.706290691829587,9.5
1,112.8567220052414,24.706290691829587,9.0
1,112.86505533857476,24.706290691829587,8.5
1,112.87338867190807,24.706290691829587,8.1
1,112.88172200524144,24.706290691829587,7.1
1,112.89005533857475,24.706290691829587,6.4
1,112.89838867190812,24.706290691829587,5.5
1,112.90672200524143,24.706290691829587,5.5
1,112.9150553385748,24.706290691829587,6.1
1,112.92338867190811,24.706290691829587,6.6
1,112.93172200524148,24.706290691829587,6.8
1,112.9400553385748,24.706290691829587,7.1
1,112.94838867190816,24.706290691829587,7.3
1,112.95672200524147,24.706290691829587,7.9
1,112.96505533857484,24.706290691829587,8.3
1,112.97338867190815,24.706290691829587,8.3
1,112.98172200524152,24.706290691829587,8.8
1,112.99005533857483,24.706290691829587,8.7
1,112.9983886719082,24.706290691829587,8.8
1,113.00672200524151,24.706290691829587,8.9
1,113.01505533857488,24.706290691829587,8.9
1,112.8567220052414,24.697957358496254,9.5
1,112.86505533857476,24.697957358496254,9.3
1,112.87338867190807,24.697957358496254,8.7
1,112.88172200524144,24.697957358496254,7.8
1,112.89005533857475,24.697957358496254,6.8
1,112.89838867190812,24.697957358496254,5.7
1,112.90672200524143,24.697957358496254,5.7
1,112.9150553385748,24.697957358496254,6.6
1,112.92338867190811,24.697957358496254,6.8
1,112.93172200524148,24.697957358496254,7.2
1,112.9400553385748,24.697957358496254,7.5
1,112.94838867190816,24.697957358496254,7.6
1,112.95672200524147,24.697957358496254,8.1
1,112.96505533857484,24.697957358496254,8.6
1,112.97338867190815,24.697957358496254,8.8
1,112.98172200524152,24.697957358496254,9.0
1,112.99005533857483,24.697957358496254,9.1
1,112.9983886719082,24.697957358496254,9.1
1,113.00672200524151,24.697957358496254,9.0
1,113.01505533857488,24.697957358496254,8.9
1,112.95672200524147,24.68962402516292,8.2
1,112.96505533857484,24.68962402516292,8.4
1,112.97338867190815,24.68962402516292,8.8
1,112.98172200524152,24.68962402516292,9.1
2,112.88172200524144,24.839624025162912,10.9
2,112.89005533857475,24.839624025162912,10.4
2,112.88172200524144,24.83129069182958,11.0
2,112.89005533857475,24.83129069182958,10.5
2,112.89838867190812,24.83129069182958,9.6
2,112.90672200524143,24.83129069182958,9.4
2,112.9150553385748,24.83129069182958,9.2
2,112.88172200524144,24.822957358496247,10.9
2,112.89005533857475,24.822957358496247,10.4
2,112.89838867190812,24.822957358496247,9.8
2,112.90672200524143,24.822957358496247,8.9
2,112.9150553385748,24.822957358496247,8.6
2,112.92338867190811,24.822957358496247,8.4
2,112.93172200524148,24.822957358496247,7.9
2,112.9400553385748,24.822957358496247,7.5
2,112.94838867190816,24.822957358496247,7.0
2,112.95672200524147,24.822957358496247,7.5
2,112.96505533857484,24.822957358496247,8.1
2,112.88172200524144,24.814624025162917,10.8
2,112.89005533857475,24.814624025162917,10.2
2,112.89838867190812,24.814624025162917,9.9
2,112.90672200524143,24.814624025162917,9.1
2,112.9150553385748,24.814624025162917,8.5
2,112.92338867190811,24.814624025162917,8.0
2,112.93172200524148,24.814624025162917,7.7
2,112.9400553385748,24.814624025162917,7.6
2,112.94838867190816,24.814624025162917,7.4
2,112.95672200524147,24.814624025162917,7.6
2,112.96505533857484,24.814624025162917,8.1
2,112.97338867190815,24.814624025162917,8.4
2,112.87338867190807,24.80629069182958,11.2
2,112.88172200524144,24.80629069182958,11.0
2,112.89005533857475,24.80629069182958,10.6
2,112.89838867190812,24.80629069182958,10.1
2,112.90672200524143,24.80629069182958,9.6
2,112.9150553385748,24.80629069182958,9.2
2,112.92338867190811,24.80629069182958,8.6
2,112.93172200524148,24.80629069182958,8.3
2,112.9400553385748,24.80629069182958,7.7
2,112.94838867190816,24.80629069182958,7.4
2,112.95672200524147,24.80629069182958,7.0
2,112.96505533857484,24.80629069182958,7.3
2,112.97338867190815,24.80629069182958,7.9
2,112.98172200524152,24.80629069182958,8.3
2,112.84838867190808,24.797957358496248,11.2
2,112.8567220052414,24.797957358496248,10.6
2,112.86505533857476,24.797957358496248,10.7
2,112.87338867190807,24.797957358496248,10.4
2,112.88172200524144,24.797957358496248,9.9
2,112.89005533857475,24.797957358496248,9.8
2,112.89838867190812,24.797957358496248,9.2
2,112.90672200524143,24.797957358496248,8.7
2,112.9150553385748,24.797957358496248,8.3
2,112.92338867190811,24.797957358496248,8.2
2,112.93172200524148,24.797957358496248,7.5
2,112.9400553385748,24.797957358496248,7.5
2,112.94838867190816,24.797957358496248,7.2
2,112.95672200524147,24.797957358496248,7.1
2,112.96505533857484,24.797957358496248,7.8
2,112.97338867190815,24.797957358496248,8.4
2,112.98172200524152,24.797957358496248,8.6
2,112.84005533857471,24.789624025162915,11.7
2,112.84838867190808,24.789624025162915,11.0
2,112.8567220052414,24.789624025162915,10.0
2,112.86505533857476,24.789624025162915,10.0
2,112.87338867190807,24.789624025162915,9.6
2,112.88172200524144,24.789624025162915,9.1
2,112.89005533857475,24.789624025162915,8.8
2,112.89838867190812,24.789624025162915,8.9
2,112.90672200524143,24.789624025162915,8.8
2,112.9150553385748,24.789624025162915,8.4
2,112.92338867190811,24.789624025162915,7.6
2,112.93172200524148,24.789624025162915,7.2
2,112.9400553385748,24.789624025162915,7.1
2,112.94838867190816,24.789624025162915,7.2
2,112.95672200524147,24.789624025162915,7.7
2,112.96505533857484,24.789624025162915,8.1
2,112.97338867190815,24.789624025162915,8.7
2,112.98172200524152,24.789624025162915,9.2
2,112.84005533857471,24.781290691829582,11.8
2,112.84838867190808,24.781290691829582,11.2
2,112.8567220052414,24.781290691829582,10.8
2,112.86505533857476,24.781290691829582,10.2
2,112.87338867190807,24.781290691829582,9.5
2,112.88172200524144,24.781290691829582,9.2
2,112.89005533857475,24.781290691829582,9.7
2,112.89838867190812,24.781290691829582,9.7
2,112.90672200524143,24.781290691829582,9.0
2,112.9150553385748,24.781290691829582,8.5
2,112.92338867190811,24.781290691829582,8.5
2,112.93172200524148,24.781290691829582,8.5
2,112.9400553385748,24.781290691829582,8.0
2,112.94838867190816,24.781290691829582,7.5
2,112.95672200524147,24.781290691829582,7.7
2,112.96505533857484,24.781290691829582,8.0
2,112.97338867190815,24.781290691829582,8.6
2,112.98172200524152,24.781290691829582,9.4
2,112.84005533857471,24.77295735849625,11.9
2,112.84838867190808,24.77295735849625,11.5
2,112.8567220052414,24.77295735849625,11.0
2,112.86505533857476,24.77295735849625,10.6
2,112.87338867190807,24.77295735849625,10.1
2,112.88172200524144,24.77295735849625,10.4
2,112.89005533857475,24.77295735849625,10.4
2,112.89838867190812,24.77295735849625,10.0
2,112.90672200524143,24.77295735849625,9.7
2,112.9150553385748,24.77295735849625,9.5
2,112.92338867190811,24.77295735849625,9.0
2,112.93172200524148,24.77295735849625,8.3
2,112.9400553385748,24.77295735849625,7.6
2,112.94838867190816,24.77295735849625,7.5
2,112.95672200524147,24.77295735849625,8.2
2,112.96505533857484,24.77295735849625,8.7
2,112.97338867190815,24.77295735849625,9.0
2,112.98172200524152,24.77295735849625,9.4
2,112.84838867190808,24.76462402516292,11.6
2,112.8567220052414,24.76462402516292,11.4
2,112.86505533857476,24.76462402516292,11.3
2,112.87338867190807,24.76462402516292,10.9
2,112.88172200524144,24.76462402516292,10.6
2,112.89005533857475,24.76462402516292,10.1
2,112.89838867190812,24.76462402516292,9.6
2,112.90672200524143,24.76462402516292,9.1
2,112.9150553385748,24.76462402516292,8.6
2,112.92338867190811,24.76462402516292,8.2
2,112.93172200524148,24.76462402516292,7.4
2,112.9400553385748,24.76462402516292,7.2
2,112.94838867190816,24.76462402516292,7.4
2,112.95672200524147,24.76462402516292,7.9
2,112.96505533857484,24.76462402516292,8.4
2,112.97338867190815,24.76462402516292,8.8
2,112.98172200524152,24.76462402516292,9.4
2,112.84838867190808,24.756290691829584,11.4
2,112.8567220052414,24.756290691829584,10.9
2,112.86505533857476,24.756290691829584,11.1
2,112.87338867190807,24.756290691829584,10.7
2,112.88172200524144,24.756290691829584,10.1
2,112.89005533857475,24.756290691829584,9.4
2,112.89838867190812,24.756290691829584,9.1
2,112.90672200524143,24.756290691829584,8.5
2,112.9150553385748,24.756290691829584,7.9
2,112.92338867190811,24.756290691829584,7.7
2,112.93172200524148,24.756290691829584,7.4
2,112.9400553385748,24.756290691829584,7.8
2,112.94838867190816,24.756290691829584,8.1
2,112.95672200524147,24.756290691829584,8.5
2,112.96505533857484,24.756290691829584,8.8
2,112.97338867190815,24.756290691829584,9.4
2,112.98172200524152,24.756290691829584,9.6
2,112.84838867190808,24.74795735849625,10.8
2,112.8567220052414,24.74795735849625,10.1
2,112.86505533857476,24.74795735849625,10.1
2,112.87338867190807,24.74795735849625,9.9
2,112.88172200524144,24.74795735849625,9.8
2,112.89005533857475,24.74795735849625,9.5
2,112.89838867190812,24.74795735849625,9.2
2,112.90672200524143,24.74795735849625,9.1
2,112.9150553385748,24.74795735849625,8.8
2,112.92338867190811,24.74795735849625,8.3
2,112.93172200524148,24.74795735849625,8.0
2,112.9400553385748,24.74795735849625,8.1
2,112.94838867190816,24.74795735849625,8.4
2,112.95672200524147,24.74795735849625,8.7
2,112.96505533857484,24.74795735849625,9.2
2,112.97338867190815,24.74795735849625,9.6
2,112.98172200524152,24.74795735849625,9.8
2,112.8567220052414,24.73962402516292,10.0
2,112.86505533857476,24.73962402516292,9.1
2,112.87338867190807,24.73962402516292,8.6
2,112.88172200524144,24.73962402516292,8.5
2,112.89005533857475,24.73962402516292,8.7
2,112.89838867190812,24.73962402516292,8.9
2,112.90672200524143,24.73962402516292,8.7
2,112.9150553385748,24.73962402516292,8.4
2,112.92338867190811,24.73962402516292,8.4
2,112.93172200524148,24.73962402516292,7.8
2,112.9400553385748,24.73962402516292,7.7
2,112.94838867190816,24.73962402516292,8.1
2,112.95672200524147,24.73962402516292,8.7
2,112.96505533857484,24.73962402516292,9.2
2,112.97338867190815,24.73962402516292,9.7
2,112.98172200524152,24.73962402516292,9.9
2,112.99005533857483,24.73962402516292,9.9
2,112.9983886719082,24.73962402516292,10.0
2,112.8567220052414,24.731290691829585,9.7
2,112.86505533857476,24.731290691829585,9.1
2,112.87338867190807,24.731290691829585,8.0
2,112.88172200524144,24.731290691829585,7.5
2,112.89005533857475,24.731290691829585,7.5
2,112.89838867190812,24.731290691829585,7.8
2,112.90672200524143,24.731290691829585,8.1
2,112.9150553385748,24.731290691829585,8.0
2,112.92338867190811,24.731290691829585,7.7
2,112.93172200524148,24.731290691829585,7.9
2,112.9400553385748,24.731290691829585,8.2
2,112.94838867190816,24.731290691829585,8.6
2,112.95672200524147,24.731290691829585,9.0
2,112.96505533857484,24.731290691829585,9.4
2,112.97338867190815,24.731290691829585,9.6
2,112.98172200524152,24.731290691829585,9.6
2,112.99005533857483,24.731290691829585,9.9
2,112.9983886719082,24.731290691829585,10.0
2,113.00672200524151,24.731290691829585,10.2
2,112.8567220052414,24.72295735849625,9.4
2,112.86505533857476,24.72295735849625,8.7
2,112.87338867190807,24.72295735849625,7.9
2,112.88172200524144,24.72295735849625,7.2
2,112.89005533857475,24.72295735849625,6.9
2,112.89838867190812,24.72295735849625,7.0
2,112.90672200524143,24.72295735849625,7.1
2,112.9150553385748,24.72295735849625,7.4
2,112.92338867190811,24.72295735849625,7.5
2,112.93172200524148,24.72295735849625,7.7
2,112.9400553385748,24.72295735849625,7.9
2,112.94838867190816,24.72295735849625,8.4
2,112.95672200524147,24.72295735849625,8.7
2,112.96505533857484,24.72295735849625,9.2
2,112.97338867190815,24.72295735849625,9.5
2,112.98172200524152,24.72295735849625,9.7
2,112.99005533857483,24.72295735849625,9.7
2,112.9983886719082,24.72295735849625,9.8
2,113.00672200524151,24.72295735849625,10.1
2,112.84838867190808,24.71462402516292,10.4
2,112.8567220052414,24.71462402516292,9.6
2,112.86505533857476,24.71462402516292,8.9
2,112.87338867190807,24.71462402516292,8.0
2,112.88172200524144,24.71462402516292,7.2
2,112.89005533857475,24.71462402516292,6.9
2,112.89838867190812,24.71462402516292,6.7
2,112.90672200524143,24.71462402516292,7.3
2,112.9150553385748,24.71462402516292,7.7
2,112.92338867190811,24.71462402516292,7.9
2,112.93172200524148,24.71462402516292,8.1
2,112.9400553385748,24.71462402516292,8.3
2,112.94838867190816,24.71462402516292,8.8
2,112.95672200524147,24.71462402516292,9.2
2,112.96505533857484,24.71462402516292,9.6
2,112.97338867190815,24.71462402516292,9.8
2,112.98172200524152,24.71462402516292,10.0
2,112.99005533857483,24.71462402516292,9.9
2,112.9983886719082,24.71462402516292,10.0
2,113.00672200524151,24.71462402516292,10.1
2,112.84838867190808,24.706290691829587,10.8
2,112.8567220052414,24.706290691829587,10.4
2,112.86505533857476,24.706290691829587,9.9
2,112.87338867190807,24.706290691829587,9.4
2,112.88172200524144,24.706290691829587,8.4
2,112.89005533857475,24.706290691829587,7.7
2,112.89838867190812,24.706290691829587,6.8
2,112.90672200524143,24.706290691829587,6.8
2,112.9150553385748,24.706290691829587,7.4
2,112.92338867190811,24.706290691829587,7.9
2,112.93172200524148,24.706290691829587,8.1
2,112.9400553385748,24.706290691829587,8.4
2,112.94838867190816,24.706290691829587,8.6
2,112.95672200524147,24.706290691829587,9.2
2,112.96505533857484,24.706290691829587,9.6
2,112.97338867190815,24.706290691829587,9.6
2,112.98172200524152,24.706290691829587,10.1
2,112.99005533857483,24.706290691829587,10.0
2,112.9983886719082,24.706290691829587,10.1
2,113.00672200524151,24.706290691829587,10.2
2,113.01505533857488,24.706290691829587,10.3
2,112.8567220052414,24.697957358496254,10.9
2,112.86505533857476,24.697957358496254,10.6
2,112.87338867190807,24.697957358496254,10.1
2,112.88172200524144,24.697957358496254,9.1
2,112.89005533857475,24.697957358496254,8.0
2,112.89838867190812,24.697957358496254,7.0
2,112.90672200524143,24.697957358496254,7.0
2,112.9150553385748,24.697957358496254,7.7
2,112.92338867190811,24.697957358496254,8.0
2,112.93172200524148,24.697957358496254,8.4
2,112.9400553385748,24.697957358496254,8.7
2,112.94838867190816,24.697957358496254,8.9
2,112.95672200524147,24.697957358496254,9.3
2,112.96505533857484,24.697957358496254,9.9
2,112.97338867190815,24.697957358496254,10.2
2,112.98172200524152,24.697957358496254,10.3
2,112.99005533857483,24.697957358496254,10.5
2,112.9983886719082,24.697957358496254,10.4
2,113.00672200524151,24.697957358496254,10.3
2,113.01505533857488,24.697957358496254,10.3
2,112.95672200524147,24.68962402516292,9.4
2,112.96505533857484,24.68962402516292,9.7
2,112.97338867190815,24.68962402516292,10.1
2,112.98172200524152,24.68962402516292,10.4
3,112.88172200524144,24.839624025162912,14.9
3,112.89005533857475,24.839624025162912,14.4
3,112.88172200524144,24.83129069182958,15.0
3,112.89005533857475,24.83129069182958,14.5
3,112.89838867190812,24.83129069182958,13.5
3,112.90672200524143,24.83129069182958,13.3
3,112.9150553385748,24.83129069182958,13.1
3,112.88172200524144,24.822957358496247,15.0
3,112.89005533857475,24.822957358496247,14.4
3,112.89838867190812,24.822957358496247,13.7
3,112.90672200524143,24.822957358496247,12.8
3,112.9150553385748,24.822957358496247,12.4
3,112.92338867190811,24.822957358496247,12.1
3,112.93172200524148,24.822957358496247,11.6
3,112.9400553385748,24.822957358496247,11.3
3,112.94838867190816,24.822957358496247,10.8
3,112.95672200524147,24.822957358496247,11.3
3,112.96505533857484,24.822957358496247,11.9
3,112.88172200524144,24.814624025162917,15.0
3,112.89005533857475,24.814624025162917,14.3
3,112.89838867190812,24.814624025162917,13.9
3,112.90672200524143,24.814624025162917,13.0
3,112.9150553385748,24.814624025162917,12.4
3,112.92338867190811,24.814624025162917,11.8
3,112.93172200524148,24.814624025162917,11.4
3,112.9400553385748,24.814624025162917,11.4
3,112.94838867190816,24.814624025162917,11.2
3,112.95672200524147,24.814624025162917,11.4
3,112.96505533857484,24.814624025162917,11.9
3,112.97338867190815,24.814624025162917,12.2
3,112.87338867190807,24.80629069182958,15.5
3,112.88172200524144,24.80629069182958,15.1
3,112.89005533857475,24.80629069182958,14.7
3,112.89838867190812,24.80629069182958,14.1
3,112.90672200524143,24.80629069182958,13.5
3,112.9150553385748,24.80629069182958,13.1
3,112.92338867190811,24.80629069182958,12.5
3,112.93172200524148,24.80629069182958,12.2
3,112.9400553385748,24.80629069182958,11.6
3,112.94838867190816,24.80629069182958,11.3
3,112.95672200524147,24.80629069182958,10.9
3,112.96505533857484,24.80629069182958,11.2
3,112.97338867190815,24.80629069182958,11.7
3,112.98172200524152,24.80629069182958,12.1
3,112.84838867190808,24.797957358496248,15.5
3,112.8567220052414,24.797957358496248,14.9
3,112.86505533857476,24.797957358496248,15.0
3,112.87338867190807,24.797957358496248,14.6
3,112.88172200524144,24.797957358496248,14.0
3,112.89005533857475,24.797957358496248,13.8
3,112.89838867190812,24.797957358496248,13.1
3,112.90672200524143,24.797957358496248,12.5
3,112.9150553385748,24.797957358496248,12.1
3,112.92338867190811,24.797957358496248,12.0
3,112.93172200524148,24.797957358496248,11.3
3,112.9400553385748,24.797957358496248,11.3
3,112.94838867190816,24.797957358496248,11.0
3,112.95672200524147,24.797957358496248,11.0
3,112.96505533857484,24.797957358496248,11.7
3,112.97338867190815,24.797957358496248,12.3
