-999.00,-999.00,-999.00,-999.00,306.00,327.00,345.00,347.00,341.00,335.00,333.00,340.00,347.00,351.00,365.00,378.00,390.00,411.00,427.00,446.00,453.00,471.00,478.00,-999.00,-999.00,-999.00
-999.00,-999.00,-999.00,-999.00,294.00,311.00,336.00,340.00,343.00,332.00,329.00,325.00,332.00,341.00,356.00,378.00,390.00,406.00,417.00,431.00,442.00,456.00,466.00,468.00,-999.00,-999.00
-999.00,-999.00,-999.00,-999.00,288.00,300.00,328.00,339.00,338.00,337.00,332.00,320.00,326.00,321.00,356.00,369.00,380.00,389.00,406.00,419.00,434.00,445.00,456.00,449.00,-999.00,-999.00
-999.00,-999.00,-999.00,-999.00,288.00,306.00,319.00,332.00,333.00,331.00,330.00,322.00,326.00,321.00,338.00,363.00,368.00,384.00,393.00,417.00,426.00,436.00,443.00,444.00,438.00,-999.00
-999.00,-999.00,-999.00,-999.00,288.00,306.00,311.00,319.00,324.00,322.00,330.00,322.00,314.00,310.00,328.00,330.00,349.00,367.00,377.00,394.00,410.00,427.00,435.00,434.00,420.00,385.00
-999.00,-999.00,-999.00,288.00,288.00,311.00,311.00,319.00,324.00,322.00,325.00,317.00,306.00,304.00,309.00,312.00,327.00,350.00,377.00,390.00,404.00,418.00,425.00,426.00,412.00,380.00
-999.00,-999.00,-999.00,288.00,311.00,311.00,311.00,312.00,312.00,311.00,303.00,299.00,297.00,296.00,307.00,308.00,317.00,329.00,361.00,377.00,395.00,411.00,421.00,418.00,411.00,366.00
-999.00,-999.00,-999.00,288.00,311.00,311.00,312.00,312.00,301.00,301.00,285.00,281.00,279.00,282.00,286.00,296.00,307.00,322.00,353.00,371.00,392.00,407.00,416.00,417.00,413.00,368.00
-999.00,-999.00,-999.00,311.00,311.00,311.00,301.00,301.00,301.00,273.00,273.00,271.00,271.00,272.00,280.00,289.00,302.00,321.00,337.00,361.00,382.00,401.00,413.00,411.00,396.00,358.00
-999.00,-999.00,-999.00,311.00,311.00,301.00,301.00,301.00,301.00,273.00,261.00,261.00,262.00,258.00,273.00,285.00,297.00,321.00,329.00,352.00,365.00,380.00,401.00,396.00,368.00,353.00
