col,row,longitude,latitude,elevation,region_id
173,150,112.884706,24.811973,1546.000000,167
173,151,112.884706,24.811673,1539.000000,167
173,152,112.884706,24.811373,1543.000000,167
173,153,112.884706,24.811073,1536.000000,167
174,126,112.885006,24.819173,1450.000000,167
174,127,112.885006,24.818873,1455.000000,167
174,128,112.885006,24.818573,1461.000000,167
174,129,112.885006,24.818273,1482.000000,167
174,130,112.885006,24.817973,1497.000000,167
174,131,112.885006,24.817673,1499.000000,167
174,132,112.885006,24.817373,1522.000000,167
174,133,112.885006,24.817073,1559.000000,167
174,134,112.885006,24.816773,1577.000000,167
174,135,112.885006,24.816473,1586.000000,167
174,136,112.885006,24.816173,1595.000000,167
174,137,112.885006,24.815873,1607.000000,167
174,138,112.885006,24.815573,1619.000000,167
174,139,112.885006,24.815273,1630.000000,167
174,140,112.885006,24.814973,1636.000000,167
174,141,112.885006,24.814673,1636.000000,167
174,142,112.885006,24.814373,1629.000000,167
174,143,112.885006,24.814073,1615.000000,167
174,144,112.885006,24.813773,1606.000000,167
174,145,112.885006,24.813473,1590.000000,167
174,146,112.885006,24.813173,1570.000000,167
174,147,112.885006,24.812873,1563.000000,167
174,148,112.885006,24.812573,1552.000000,167
174,149,112.885006,24.812273,1550.000000,167
174,150,112.885006,24.811973,1548.000000,167
174,151,112.885006,24.811673,1542.000000,167
174,152,112.885006,24.811373,1543.000000,167
174,153,112.885006,24.811073,1530.000000,167
175,126,112.885306,24.819173,1455.000000,167
175,127,112.885306,24.818873,1457.000000,167
175,128,112.885306,24.818573,1464.000000,167
175,129,112.885306,24.818273,1482.000000,167
175,130,112.885306,24.817973,1488.000000,167
175,131,112.885306,24.817673,1495.000000,167
175,132,112.885306,24.817373,1529.000000,167
175,133,112.885306,24.817073,1557.000000,167
175,134,112.885306,24.816773,1577.000000,167
175,135,112.885306,24.816473,1584.000000,167
175,136,112.885306,24.816173,1588.000000,167
175,137,112.885306,24.815873,1598.000000,167
175,138,112.885306,24.815573,1613.000000,167
175,139,112.885306,24.815273,1626.000000,167
175,140,112.885306,24.814973,1630.000000,167
175,141,112.885306,24.814673,1630.000000,167
175,142,112.885306,24.814373,1621.000000,167
175,143,112.885306,24.814073,1605.000000,167
175,144,112.885306,24.813773,1595.000000,167
175,145,112.885306,24.813473,1585.000000,167
175,146,112.885306,24.813173,1571.000000,167
175,147,112.885306,24.812873,1553.000000,167
175,148,112.885306,24.812573,1548.000000,167
175,149,112.885306,24.812273,1550.000000,167
175,150,112.885306,24.811973,1544.000000,167
175,151,112.885306,24.811673,1535.000000,167
175,152,112.885306,24.811373,1533.000000,167
175,153,112.885306,24.811073,1525.000000,167
176,126,112.885606,24.819173,1456.000000,167
176,127,112.885606,24.818873,1458.000000,167
176,128,112.885606,24.818573,1467.000000,167
176,129,112.885606,24.818273,1484.000000,167
176,130,112.885606,24.817973,1496.000000,167
176,131,112.885606,24.817673,1502.000000,167
176,132,112.885606,24.817373,1537.000000,167
176,133,112.885606,24.817073,1559.000000,167
176,134,112.885606,24.816773,1573.000000,167
176,135,112.885606,24.816473,1579.000000,167
176,136,112.885606,24.816173,1585.000000,167
176,137,112.885606,24.815873,1591.000000,167
176,138,112.885606,24.815573,1604.000000,167
176,139,112.885606,24.815273,1617.000000,167
176,140,112.885606,24.814973,1617.000000,167
176,141,112.885606,24.814673,1616.000000,167
