0,1,2,时间步长,年份
112.900898,24.738877,297.5,1,201302
112.913735,24.738877,299.75,1,201302
112.926572,24.738877,306.0,1,201302
112.939409,24.738877,306.75,1,201302
112.952246,24.738877,305.0,1,201302
112.965083,24.738877,302.5,1,201302
112.97792,24.738877,299.5,1,201302
112.990757,24.738877,298.25,1,201302
113.003594,24.738877,298.25,1,201302
112.84955,24.747347,280.75,1,201302
112.862387,24.747347,284.0,1,201302
112.875224,24.747347,288.5,1,201302
112.888061,24.747347,292.5,1,201302
112.900898,24.747347,296.0,1,201302
112.913735,24.747347,300.5,1,201302
112.926572,24.747347,305.75,1,201302
112.939409,24.747347,308.25,1,201302
112.952246,24.747347,307.0,1,201302
112.965083,24.747347,303.5,1,201302
112.97792,24.747347,299.25,1,201302
112.84955,24.755817,272.0,1,201302
112.862387,24.755817,274.75,1,201302
112.875224,24.755817,282.0,1,201302
112.888061,24.755817,290.5,1,201302
112.900898,24.755817,297.0,1,201302
112.913735,24.755817,302.75,1,201302
112.926572,24.755817,307.75,1,201302
112.939409,24.755817,310.5,1,201302
112.952246,24.755817,308.75,1,201302
112.965083,24.755817,306.5,1,201302
112.97792,24.755817,301.5,1,201302
112.84955,24.764287,267.25,1,201302
112.862387,24.764287,273.0,1,201302
112.875224,24.764287,281.75,1,201302
112.888061,24.764287,288.0,1,201302
112.900898,24.764287,296.0,1,201302
112.913735,24.764287,301.75,1,201302
112.926572,24.764287,306.75,1,201302
112.939409,24.764287,310.75,1,201302
112.952246,24.764287,311.25,1,201302
112.965083,24.764287,308.75,1,201302
112.97792,24.764287,305.5,1,201302
112.836713,24.772757,265.25,1,201302
112.84955,24.772757,272.0,1,201302
112.862387,24.772757,281.0,1,201302
112.875224,24.772757,287.25,1,201302
112.888061,24.772757,289.25,1,201302
112.900898,24.772757,294.25,1,201302
112.913735,24.772757,300.0,1,201302
112.926572,24.772757,305.0,1,201302
112.939409,24.772757,309.75,1,201302
112.952246,24.772757,311.5,1,201302
112.965083,24.772757,309.0,1,201302
112.97792,24.772757,307.25,1,201302
112.836713,24.781227,267.0,1,201302
112.84955,24.781227,277.25,1,201302
112.862387,24.781227,288.25,1,201302
112.875224,24.781227,295.75,1,201302
112.888061,24.781227,295.75,1,201302
112.900898,24.781227,298.25,1,201302
112.913735,24.781227,302.75,1,201302
112.926572,24.781227,306.75,1,201302
112.939409,24.781227,311.0,1,201302
112.952246,24.781227,313.75,1,201302
112.965083,24.781227,311.75,1,201302
112.97792,24.781227,307.25,1,201302
112.84955,24.789697,281.5,1,201302
112.862387,24.789697,290.0,1,201302
112.875224,24.789697,295.0,1,201302
112.888061,24.789697,298.5,1,201302
112.900898,24.789697,301.0,1,201302
112.913735,24.789697,306.25,1,201302
112.926572,24.789697,310.75,1,201302
112.939409,24.789697,315.25,1,201302
112.952246,24.789697,315.5,1,201302
112.965083,24.789697,314.25,1,201302
112.97792,24.789697,309.75,1,201302
112.84955,24.798167,284.5,1,201302
112.862387,24.798167,289.0,1,201302
112.875224,24.798167,285.75,1,201302
112.888061,24.798167,292.75,1,201302
112.900898,24.798167,300.75,1,201302
112.913735,24.798167,305.0,1,201302
112.926572,24.798167,310.5,1,201302
112.939409,24.798167,316.5,1,201302
112.952246,24.798167,318.5,1,201302
112.965083,24.798167,316.75,1,201302
112.97792,24.798167,314.25,1,201302
112.875224,24.806637,277.25,1,201302
112.888061,24.806637,285.75,1,201302
112.900898,24.806637,296.75,1,201302
112.913735,24.806637,303.0,1,201302
112.926572,24.806637,309.5,1,201302
112.939409,24.806637,315.25,1,201302
112.952246,24.806637,319.0,1,201302
112.965083,24.806637,318.5,1,201302
112.97792,24.806637,314.75,1,201302
112.875224,24.815107,275.75,1,201302
112.888061,24.815107,285.5,1,201302
112.900898,24.815107,298.0,1,201302
112.913735,24.815107,304.75,1,201302
112.926572,24.815107,312.25,1,201302
112.939409,24.815107,317.0,1,201302
112.952246,24.815107,320.25,1,201302
112.965083,24.815107,316.75,1,201302
112.875224,24.823577,281.75,1,201302
112.888061,24.823577,287.5,1,201302
112.900898,24.823577,299.75,1,201302
112.913735,24.823577,306.0,1,201302
112.926572,24.823577,314.5,1,201302
112.939409,24.823577,317.75,1,201302
112.952246,24.823577,320.25,1,201302
112.965083,24.823577,317.75,1,201302
112.888061,24.832047,287.0,1,201302
112.900898,24.832047,301.75,1,201302
112.913735,24.832047,305.0,1,201302
112.888061,24.840517,284.5,1,201302
112.888061,24.848987,284.5,1,201302
112.952246,24.688057,1763.0,2,201303
112.965083,24.688057,1756.75,2,201303
112.97792,24.688057,1741.75,2,201303
112.862387,24.696527,1721.5,2,201303
112.888061,24.696527,1784.5,2,201303
112.939409,24.696527,1771.25,2,201303
112.952246,24.696527,1766.0,2,201303
112.965083,24.696527,1747.5,2,201303
112.97792,24.696527,1741.75,2,201303
112.990757,24.696527,1733.25,2,201303
113.003594,24.696527,1731.0,2,201303
113.016431,24.696527,1728.0,2,201303
112.84955,24.704997,1706.0,2,201303
112.862387,24.704997,1718.25,2,201303
112.875224,24.704997,1747.0,2,201303
112.888061,24.704997,1772.0,2,201303
112.900898,24.704997,1810.0,2,201303
112.913735,24.704997,1788.75,2,201303
112.926572,24.704997,1783.0,2,201303
112.939409,24.704997,1771.25,2,201303
112.952246,24.704997,1759.75,2,201303
112.965083,24.704997,1741.25,2,201303
112.97792,24.704997,1735.75,2,201303
112.990757,24.704997,1733.25,2,201303
113.003594,24.704997,1731.0,2,201303
113.016431,24.704997,1728.0,2,201303
112.84955,24.713467,1706.25,2,201303
112.862387,24.713467,1725.0,2,201303
112.875224,24.713467,1762.5,2,201303
112.888061,24.713467,1781.25,2,201303
112.900898,24.713467,1794.5,2,201303
112.913735,24.713467,1776.25,2,201303
112.926572,24.713467,1774.0,2,201303
112.939409,24.713467,1759.0,2,201303
112.952246,24.713467,1747.25,2,201303
112.965083,24.713467,1726.25,2,201303
112.97792,24.713467,1730.0,2,201303
112.990757,24.713467,1724.25,2,201303
113.003594,24.713467,1725.0,2,201303
112.84955,24.721937,1700.75,2,201303
112.862387,24.721937,1722.5,2,201303
112.875224,24.721937,1756.5,2,201303
112.888061,24.721937,1772.25,2,201303
112.900898,24.721937,1782.0,2,201303
112.913735,24.721937,1764.0,2,201303
112.926572,24.721937,1768.0,2,201303
112.939409,24.721937,1756.0,2,201303
112.952246,24.721937,1738.0,2,201303
112.965083,24.721937,1723.25,2,201303
112.97792,24.721937,1718.0,2,201303
112.990757,24.721937,1715.0,2,201303
113.003594,24.721937,1715.75,2,201303
112.862387,24.730407,1707.5,2,201303
112.875224,24.730407,1741.25,2,201303
112.888061,24.730407,1748.0,2,201303
112.900898,24.730407,1757.5,2,201303
112.913735,24.730407,1739.5,2,201303
112.926572,24.730407,1755.5,2,201303
112.939409,24.730407,1737.5,2,201303
112.952246,24.730407,1729.0,2,201303
112.965083,24.730407,1711.0,2,201303
112.97792,24.730407,1705.75,2,201303
112.990757,24.730407,1700.0,2,201303
113.003594,24.730407,1697.25,2,201303
112.84955,24.738877,1665.5,2,201303
112.862387,24.738877,1680.75,2,201303
112.875224,24.738877,1708.0,2,201303
112.888061,24.738877,1711.75,2,201303
112.900898,24.738877,1706.0,2,201303
112.913735,24.738877,1715.25,2,201303
112.926572,24.738877,1734.0,2,201303
112.939409,24.738877,1734.25,2,201303
112.952246,24.738877,1723.0,2,201303
112.965083,24.738877,1702.0,2,201303
112.97792,24.738877,1687.25,2,201303
112.990757,24.738877,1681.75,2,201303
113.003594,24.738877,1682.0,2,201303
112.84955,24.747347,1652.5,2,201303
112.862387,24.747347,1661.75,2,201303
112.875224,24.747347,1665.25,2,201303
112.888061,24.747347,1674.75,2,201303
112.900898,24.747347,1683.75,2,201303
112.913735,24.747347,1701.75,2,201303
112.926572,24.747347,1718.75,2,201303
112.939409,24.747347,1726.75,2,201303
112.952246,24.747347,1713.5,2,201303
112.965083,24.747347,1686.75,2,201303
112.97792,24.747347,1675.0,2,201303
112.84955,24.755817,1637.5,2,201303
112.862387,24.755817,1640.75,2,201303
112.875224,24.755817,1638.25,2,201303
112.888061,24.755817,1653.75,2,201303
112.900898,24.755817,1680.75,2,201303
112.913735,24.755817,1701.75,2,201303
112.926572,24.755817,1717.0,2,201303
112.939409,24.755817,1726.5,2,201303
112.952246,24.755817,1704.75,2,201303
112.965083,24.755817,1689.25,2,201303
112.97792,24.755817,1672.75,2,201303
112.84955,24.764287,1634.5,2,201303
112.862387,24.764287,1638.0,2,201303
112.875224,24.764287,1632.5,2,201303
112.888061,24.764287,1641.75,2,201303
112.900898,24.764287,1665.75,2,201303
112.913735,24.764287,1687.0,2,201303
112.926572,24.764287,1714.0,2,201303
112.939409,24.764287,1729.25,2,201303
112.952246,24.764287,1719.25,2,201303
112.965083,24.764287,1701.25,2,201303
112.97792,24.764287,1678.25,2,201303
112.836713,24.772757,1631.75,2,201303
112.84955,24.772757,1626.0,2,201303
112.862387,24.772757,1635.5,2,201303
112.875224,24.772757,1644.75,2,201303
112.888061,24.772757,1642.25,2,201303
112.900898,24.772757,1654.5,2,201303
112.913735,24.772757,1675.75,2,201303
112.926572,24.772757,1696.75,2,201303
112.939409,24.772757,1715.0,2,201303
112.952246,24.772757,1722.75,2,201303
112.965083,24.772757,1699.0,2,201303
112.97792,24.772757,1679.0,2,201303
112.836713,24.781227,1629.5,2,201303
112.84955,24.781227,1620.75,2,201303
112.862387,24.781227,1636.25,2,201303
112.875224,24.781227,1663.25,2,201303
112.888061,24.781227,1666.5,2,201303
112.900898,24.781227,1666.75,2,201303
112.913735,24.781227,1682.25,2,201303
112.926572,24.781227,1697.5,2,201303
112.939409,24.781227,1712.75,2,201303
112.952246,24.781227,1724.75,2,201303
112.965083,24.781227,1705.25,2,201303
112.97792,24.781227,1672.5,2,201303
112.84955,24.789697,1624.25,2,201303
112.862387,24.789697,1636.5,2,201303
112.875224,24.789697,1658.0,2,201303
112.888061,24.789697,1667.25,2,201303
112.900898,24.789697,1670.25,2,201303
112.913735,24.789697,1691.5,2,201303
112.926572,24.789697,1709.75,2,201303
112.939409,24.789697,1719.25,2,201303
112.952246,24.789697,1725.5,2,201303
112.965083,24.789697,1707.75,2,201303
112.97792,24.789697,1679.25,2,201303
112.84955,24.798167,1626.0,2,201303
112.862387,24.798167,1632.25,2,201303
112.875224,24.798167,1634.75,2,201303
112.888061,24.798167,1647.0,2,201303
112.900898,24.798167,1665.0,2,201303
112.913735,24.798167,1686.25,2,201303
112.926572,24.798167,1704.25,2,201303
112.939409,24.798167,1719.5,2,201303
112.952246,24.798167,1730.75,2,201303
112.965083,24.798167,1720.0,2,201303
112.97792,24.798167,1702.25,2,201303
112.875224,24.806637,1617.5,2,201303
112.888061,24.806637,1623.75,2,201303
112.900898,24.806637,1645.0,2,201303
112.913735,24.806637,1674.75,2,201303
112.926572,24.806637,1692.75,2,201303
112.939409,24.806637,1705.25,2,201303
112.952246,24.806637,1725.25,2,201303
112.965083,24.806637,1717.75,2,201303
112.97792,24.806637,1701.25,2,201303
112.875224,24.815107,1612.75,2,201303
112.888061,24.815107,1615.25,2,201303
112.900898,24.815107,1639.5,2,201303
112.913735,24.815107,1672.25,2,201303
112.926572,24.815107,1696.5,2,201303
112.939409,24.815107,1711.75,2,201303
112.952246,24.815107,1722.75,2,201303
112.965083,24.815107,1703.5,2,201303
112.875224,24.823577,1607.0,2,201303
112.888061,24.823577,1613.0,2,201303
112.900898,24.823577,1646.0,2,201303
112.913735,24.823577,1673.0,2,201303
112.926572,24.823577,1704.25,2,201303
112.939409,24.823577,1715.75,2,201303
112.952246,24.823577,1722.75,2,201303
112.965083,24.823577,1703.0,2,201303
112.888061,24.832047,1605.0,2,201303
112.900898,24.832047,1647.75,2,201303
112.913735,24.832047,1663.0,2,201303
112.888061,24.840517,1600.75,2,201303
112.888061,24.848987,1600.75,2,201303
112.952246,24.688057,2253.0,3,201304
112.965083,24.688057,2241.0,3,201304
112.97792,24.688057,2225.5,3,201304
112.862387,24.696527,2223.25,3,201304
112.888061,24.696527,2302.0,3,201304
112.939409,24.696527,2274.0,3,201304
112.952246,24.696527,2259.5,3,201304
112.965083,24.696527,2237.5,3,201304
112.97792,24.696527,2225.5,3,201304
112.990757,24.696527,2221.5,3,201304
113.003594,24.696527,2221.0,3,201304
113.016431,24.696527,2221.0,3,201304
112.84955,24.704997,2217.25,3,201304
112.862387,24.704997,2223.0,3,201304
112.875224,24.704997,2250.75,3,201304
112.888061,24.704997,2288.75,3,201304
112.900898,24.704997,2339.5,3,201304
112.913735,24.704997,2320.75,3,201304
112.926572,24.704997,2293.5,3,201304
112.939409,24.704997,2278.0,3,201304
112.952246,24.704997,2258.5,3,201304
112.965083,24.704997,2240.5,3,201304
112.97792,24.704997,2226.0,3,201304
112.990757,24.704997,2220.5,3,201304
113.003594,24.704997,2221.0,3,201304
113.016431,24.704997,2221.0,3,201304
112.84955,24.713467,2221.5,3,201304
112.862387,24.713467,2236.75,3,201304
112.875224,24.713467,2291.25,3,201304
112.888061,24.713467,2314.75,3,201304
112.900898,24.713467,2335.0,3,201304
112.913735,24.713467,2314.0,3,201304
112.926572,24.713467,2294.5,3,201304
112.939409,24.713467,2276.25,3,201304
112.952246,24.713467,2256.5,3,201304
112.965083,24.713467,2238.5,3,201304
112.97792,24.713467,2226.5,3,201304
112.990757,24.713467,2226.0,3,201304
113.003594,24.713467,2221.5,3,201304
112.84955,24.721937,2229.5,3,201304
112.862387,24.721937,2250.25,3,201304
112.875224,24.721937,2302.0,3,201304
112.888061,24.721937,2327.0,3,201304
112.900898,24.721937,2328.0,3,201304
112.913735,24.721937,2307.0,3,201304
112.926572,24.721937,2300.5,3,201304
112.939409,24.721937,2289.5,3,201304
112.952246,24.721937,2262.0,3,201304
112.965083,24.721937,2246.5,3,201304
112.97792,24.721937,2227.0,3,201304
112.990757,24.721937,2226.5,3,201304
113.003594,24.721937,2222.0,3,201304
112.862387,24.730407,2243.5,3,201304
112.875224,24.730407,2288.0,3,201304
112.888061,24.730407,2300.25,3,201304
112.900898,24.730407,2308.5,3,201304
112.913735,24.730407,2285.0,3,201304
112.926572,24.730407,2301.0,3,201304
112.939409,24.730407,2282.75,3,201304
112.952246,24.730407,2262.5,3,201304
112.965083,24.730407,2237.0,3,201304
112.97792,24.730407,2227.5,3,201304
112.990757,24.730407,2219.5,3,201304
113.003594,24.730407,2214.75,3,201304
112.84955,24.738877,2208.25,3,201304
112.862387,24.738877,2226.25,3,201304
112.875224,24.738877,2258.75,3,201304
112.888061,24.738877,2263.5,3,201304
112.900898,24.738877,2255.5,3,201304
112.913735,24.738877,2263.0,3,201304
112.926572,24.738877,2289.0,3,201304
112.939409,24.738877,2286.0,3,201304
112.952246,24.738877,2263.25,3,201304
112.965083,24.738877,2237.5,3,201304
112.97792,24.738877,2218.0,3,201304
112.990757,24.738877,2209.75,3,201304
113.003594,24.738877,2207.5,3,201304
112.84955,24.747347,2199.5,3,201304
112.862387,24.747347,2206.75,3,201304
112.875224,24.747347,2216.75,3,201304
112.888061,24.747347,2229.0,3,201304
112.900898,24.747347,2233.5,3,201304
112.913735,24.747347,2258.5,3,201304
112.926572,24.747347,2279.5,3,201304
112.939409,24.747347,2286.0,3,201304
112.952246,24.747347,2266.5,3,201304
112.965083,24.747347,2235.5,3,201304
112.97792,24.747347,2213.5,3,201304
112.84955,24.755817,2187.25,3,201304
112.862387,24.755817,2184.5,3,201304
112.875224,24.755817,2191.75,3,201304
112.888061,24.755817,2211.75,3,201304
112.900898,24.755817,2231.5,3,201304
112.913735,24.755817,2264.0,3,201304
112.926572,24.755817,2288.75,3,201304
112.939409,24.755817,2296.25,3,201304
112.952246,24.755817,2264.25,3,201304
112.965083,24.755817,2238.5,3,201304
112.97792,24.755817,2214.0,3,201304
112.84955,24.764287,2182.0,3,201304
112.862387,24.764287,2176.75,3,201304
112.875224,24.764287,2181.75,3,201304
112.888061,24.764287,2194.25,3,201304
112.900898,24.764287,2216.75,3,201304
112.913735,24.764287,2246.75,3,201304
112.926572,24.764287,2278.75,3,201304
112.939409,24.764287,2298.75,3,201304
112.952246,24.764287,2282.0,3,201304
112.965083,24.764287,2261.5,3,201304
112.97792,24.764287,2222.0,3,201304
112.836713,24.772757,2181.75,3,201304
112.84955,24.772757,2176.75,3,201304
112.862387,24.772757,2179.25,3,201304
112.875224,24.772757,2194.25,3,201304
112.888061,24.772757,2189.25,3,201304
112.900898,24.772757,2201.75,3,201304
112.913735,24.772757,2229.25,3,201304
112.926572,24.772757,2256.5,3,201304
112.939409,24.772757,2284.0,3,201304
112.952246,24.772757,2287.5,3,201304
112.965083,24.772757,2252.0,3,201304
112.97792,24.772757,2227.25,3,201304
112.836713,24.781227,2176.75,3,201304
112.84955,24.781227,2169.25,3,201304
112.862387,24.781227,2181.75,3,201304
112.875224,24.781227,2214.25,3,201304
112.888061,24.781227,2214.25,3,201304
112.900898,24.781227,2216.75,3,201304
112.913735,24.781227,2236.75,3,201304
112.926572,24.781227,2256.75,3,201304
112.939409,24.781227,2279.25,3,201304
112.952246,24.781227,2291.5,3,201304
112.965083,24.781227,2259.25,3,201304
112.97792,24.781227,2216.0,3,201304
112.84955,24.789697,2171.5,3,201304
112.862387,24.789697,2184.0,3,201304
112.875224,24.789697,2206.75,3,201304
112.888061,24.789697,2216.75,3,201304
112.900898,24.789697,2224.25,3,201304
112.913735,24.789697,2251.75,3,201304
112.926572,24.789697,2276.75,3,201304
112.939409,24.789697,2291.75,3,201304
112.952246,24.789697,2291.75,3,201304
112.965083,24.789697,2266.0,3,201304
112.97792,24.789697,2221.5,3,201304
112.84955,24.798167,2170.0,3,201304
112.862387,24.798167,2177.5,3,201304
112.875224,24.798167,2176.75,3,201304
112.888061,24.798167,2191.75,3,201304
112.900898,24.798167,2214.25,3,201304
112.913735,24.798167,2239.25,3,201304
112.926572,24.798167,2266.75,3,201304
112.939409,24.798167,2286.75,3,201304
112.952246,24.798167,2298.25,3,201304
112.965083,24.798167,2281.5,3,201304
112.97792,24.798167,2253.5,3,201304
112.875224,24.806637,2149.25,3,201304
112.888061,24.806637,2159.25,3,201304
