region_id,road_score,resident_score,total_score,fri_terrain
1,5.0,1.0,0.5657,0.338282
2,5.0,1.064333333333333,0.5793515333333332,0.171656
3,5.0,4.447333333333334,1.2972241333333334,0.174632
4,1.6222222222222222,1.0,0.32689111111111113,0.137953
5,2.6266666666666665,1.0,0.39790533333333333,0.374654
6,5.0,1.0,0.5657,0.325389
7,2.36,1.0,0.379052,0.336568
8,1.2844444444444445,1.0,0.30301022222222224,0.262131
9,3.1333333333333333,4.146333333333333,1.1013785999999999,0.185904
10,5.0,1.9903333333333326,0.7758487333333332,0.173877
11,5.0,3.150333333333333,1.0220007333333332,0.184765
12,5.0,4.582333333333334,1.3258711333333333,0.157672
13,1.0,1.810333333333333,0.4548527333333332,0.179760
14,1.0,1.0,0.2829,0.180296
15,1.0,1.0,0.2829,0.305423
16,1.5911111111111111,1.0,0.32469155555555557,0.370431
17,4.3822222222222225,1.0,0.5220231111111111,0.356568
18,4.217777777777778,1.0,0.5103968888888889,0.355541
19,4.386666666666667,1.0,0.5223373333333333,0.364667
20,1.9555555555555557,1.0,0.35045777777777776,0.365255
21,1.0,1.0,0.2829,0.366795
22,1.0,1.0,0.2829,0.353559
23,1.0,1.3793333333333329,0.3633945333333332,0.227787
24,1.7066666666666666,1.0,0.33286133333333334,0.184918
25,3.271111111111111,1.8213333333333335,0.6177544888888888,0.160442
26,5.0,4.853,1.3833065999999998,0.115944
27,1.0,1.0,0.2829,0.183621
28,1.0,1.0,0.2829,0.282697
29,1.0,1.0,0.2829,0.355414
30,1.0,1.0,0.2829,0.368376
31,1.0,1.0,0.2829,0.368823
32,1.0,1.0,0.2829,0.347460
