region_id,geom_center_lon,geom_center_lat,centroid_lon,centroid_lat,center_to_road_m,region_risk_level
149,112.888006,24.798173,112.888006000001,24.79817299999993,657,1
150,112.900906,24.798173,112.9009059999996,24.79817299999993,1025,1
151,112.913806,24.798173,112.91380599999891,24.79817299999993,2339,4
152,112.926556,24.798173,112.92655599999794,24.798172999999935,3724,4
153,112.939306,24.798173,112.93930599999943,24.79817299999993,4628,4
154,112.952206,24.798173,112.9522059999996,24.79817299999993,3252,4
155,112.965106,24.798173,112.96510600000003,24.79817299999993,1957,3
156,112.977856,24.798173,112.97771331092548,24.798129134453724,1093,2
157,112.874356,24.806723,112.87501125020704,24.806797938474197,78,0
158,112.888006,24.806723,112.88800600000133,24.806723000000037,292,0
159,112.900906,24.806723,112.90090599999988,24.806723000000037,897,1
160,112.913806,24.806723,112.91380599999906,24.806723000000037,2286,3
161,112.926556,24.806723,112.9265559999981,24.806723000000037,3691,4
162,112.939306,24.806723,112.93930599999923,24.806723000000037,3993,4
163,112.952206,24.806723,112.95220599999948,24.806723000000037,3530,4
164,112.965106,24.806723,112.96510599999984,24.806723000000037,2520,4
165,112.977556,24.809423,112.97661412808093,24.807632359605943,1703,3
166,112.875256,24.815123,112.87694964303178,24.814725811735947,733,1
167,112.888006,24.815123,112.88800600000133,24.81512300000002,1199,2
168,112.900906,24.815123,112.90090599999988,24.81512300000002,1522,2
169,112.913806,24.815123,112.91380599999906,24.81512300000002,2596,4
170,112.926556,24.815123,112.9265559999981,24.815123000000018,3891,4
171,112.939306,24.815123,112.93930599999923,24.81512300000002,3209,4
172,112.952206,24.815123,112.95220599999948,24.81512300000002,2610,4
173,112.966756,24.815123,112.96612759827246,24.81521554859609,1723,3
174,112.878106,24.826223,112.87891516530368,24.82521277086741,725,1
175,112.888006,24.823523,112.88800600000133,24.82352299999994,1796,3
176,112.900906,24.823523,112.90090599999988,24.82352299999994,1409,2
177,112.913806,24.823523,112.91380599999906,24.82352299999994,2201,3
