region_id,longitude,latitude,boundary
45,112.926572,24.721937,"[(113.00697813253142, 24.73424458456388), (113.01097115205417, 24.73096324747656), (113.01157978047296, 24.726172), (112.9971755, 24.726172), (112.9971755, 24.734641999999997), (113.00669500024561, 24.734641999999997), (113.00697813253142, 24.73424458456388)]"
66,112.875224,24.738877,"[(112.85029965623126, 24.735453475804885), (112.84782778721677, 24.742361203582238), (112.84788415394728, 24.743112), (112.85596849999999, 24.743112), (112.85596849999999, 24.734642), (112.85317419837189, 24.730407), (112.84976689077112, 24.730407), (112.85029965623126, 24.735453475804885)]"
65,112.862387,24.738877,"[(112.85596849999999, 24.743112), (112.86880550000001, 24.743112), (112.86880550000001, 24.734641999999997), (112.85596849999999, 24.734642), (112.85596849999999, 24.743112)]"
118,112.939409,24.772757,"[(112.86880550000001, 24.734641999999997), (112.86880550000001, 24.743112), (112.8816425, 24.743112), (112.8816425, 24.734641999999997), (112.86880550000001, 24.734641999999997)]"
115,112.900898,24.772757,"[(112.8816425, 24.734641999999997), (112.8816425, 24.743112), (112.89447949999999, 24.743112), (112.89447949999999, 24.734642), (112.8816425, 24.734641999999997)]"
117,112.926572,24.772757,"[(112.89447949999999, 24.743112), (112.90731650000001, 24.743112), (112.90731650000001, 24.734642), (112.89447949999999, 24.734642), (112.89447949999999, 24.743112)]"
49,112.97792,24.721937,"[(112.9201535, 24.743112), (112.9201535, 24.734641999999997), (112.90731650000001, 24.734642), (112.90731650000001, 24.743112), (112.9201535, 24.743112)]"
152,112.939409,24.798167,"[(112.9201535, 24.743112), (112.93299049999999, 24.743112), (112.93299049999999, 24.734642), (112.9201535, 24.734641999999997), (112.9201535, 24.743112)]"
147,112.875224,24.798167,"[(112.94582750000001, 24.734642), (112.93299049999999, 24.734642), (112.93299049999999, 24.743112), (112.94582750000001, 24.743112), (112.94582750000001, 24.734642)]"
150,112.913735,24.798167,"[(112.9586645, 24.734642), (112.94582750000001, 24.734642), (112.94582750000001, 24.743112), (112.9586645, 24.743112), (112.9586645, 24.734642)]"
80,112.888061,24.747347,"[(112.9715015, 24.743112), (112.9715015, 24.734641999999997), (112.9586645, 24.734642), (112.9586645, 24.743112), (112.9715015, 24.743112)]"
46,112.939409,24.721937,"[(112.9715015, 24.743112), (112.9843385, 24.743112), (112.9843385, 24.734642), (112.9715015, 24.734641999999997), (112.9715015, 24.743112)]"
44,112.913735,24.721937,"[(112.98720317951725, 24.74702370231213), (112.99347792435324, 24.743051954927235), (112.99385821175574, 24.741152378678073), (112.9971755, 24.740248536851723), (112.9971755, 24.734641999999997), (112.9843385, 24.734642), (112.9843385, 24.743112), (112.98717958736286, 24.74741790773046), (112.98720317951725, 24.74702370231213)]"
12,112.84955,24.704997,"[(112.84839821832051, 24.749959260546245), (112.84865349145115, 24.751582), (112.85596849999999, 24.751582), (112.85596849999999, 24.743112), (112.84788415394728, 24.743112), (112.84839821832051, 24.749959260546245)]"
32,112.926572,24.713467,"[(112.86880550000001, 24.751582), (112.86880550000001, 24.743112), (112.85596849999999, 24.743112), (112.85596849999999, 24.751582), (112.86880550000001, 24.751582)]"
109,112.97792,24.764287,"[(112.86880550000001, 24.743112), (112.86880550000001, 24.751582), (112.8816425, 24.751582), (112.8816425, 24.743112), (112.86880550000001, 24.743112)]"
108,112.965083,24.764287,"[(112.8816425, 24.743112), (112.8816425, 24.751582), (112.89447949999999, 24.751582), (112.89447949999999, 24.743112), (112.8816425, 24.743112)]"
111,112.84955,24.772757,"[(112.89447949999999, 24.751582), (112.90731650000001, 24.751582000000003), (112.90731650000001, 24.743112), (112.89447949999999, 24.743112), (112.89447949999999, 24.751582)]"
48,112.965083,24.721937,"[(112.9201535, 24.743112), (112.90731650000001, 24.743112), (112.90731650000001, 24.751582000000003), (112.9201535, 24.751582), (112.9201535, 24.743112)]"
149,112.900898,24.798167,"[(112.93299049999999, 24.743112), (112.9201535, 24.743112), (112.9201535, 24.751582), (112.93299049999999, 24.751582000000003), (112.93299049999999, 24.743112)]"
145,112.84955,24.798167,"[(112.94582750000001, 24.751582), (112.94582750000001, 24.743112), (112.93299049999999, 24.743112), (112.93299049999999, 24.751582000000003), (112.94582750000001, 24.751582)]"
146,112.862387,24.798167,"[(112.9586645, 24.751582), (112.9586645, 24.743112), (112.94582750000001, 24.743112), (112.94582750000001, 24.751582), (112.9586645, 24.751582)]"
83,112.926572,24.747347,"[(112.9586645, 24.751582), (112.9715015, 24.751582), (112.9715015, 24.743112), (112.9586645, 24.743112), (112.9586645, 24.751582)]"
41,112.875224,24.721937,"[(112.98717958736286, 24.74741790773046), (112.9843385, 24.743112), (112.9715015, 24.743112), (112.9715015, 24.751582), (112.98693037742518, 24.751582), (112.98717958736286, 24.74741790773046)]"
13,112.862387,24.704997,"[(112.8491587940238, 24.754794145432935), (112.84430264452651, 24.760052), (112.85596849999999, 24.760052), (112.85596849999999, 24.751582), (112.84865349145115, 24.751582), (112.8491587940238, 24.754794145432935)]"
15,112.888061,24.704997,"[(112.85596849999999, 24.751582), (112.85596849999999, 24.760052), (112.86880550000001, 24.760052), (112.86880550000001, 24.751582), (112.85596849999999, 24.751582)]"
