0,1,2,时间步长,年份
112.84955,24.704997,21.85,4,201705
112.862387,24.704997,21.575,4,201705
112.875224,24.704997,19.974999999999998,4,201705
112.888061,24.704997,18.775,4,201705
112.900898,24.704997,17.1,4,201705
112.913735,24.704997,17.700000000000003,4,201705
112.926572,24.704997,18.625,4,201705
112.939409,24.704997,19.025,4,201705
112.952246,24.704997,19.700000000000003,4,201705
112.965083,24.704997,20.5,4,201705
112.97792,24.704997,21.099999999999998,4,201705
112.990757,24.704997,21.35,4,201705
113.003594,24.704997,21.500000000000004,4,201705
113.016431,24.704997,21.5,4,201705
112.84955,24.713467,21.450000000000003,4,201705
112.862387,24.713467,20.65,4,201705
112.875224,24.713467,18.65,4,201705
112.888061,24.713467,17.9,4,201705
112.900898,24.713467,17.175,4,201705
112.913735,24.713467,17.8,4,201705
112.926572,24.713467,18.5,4,201705
112.939409,24.713467,18.975,4,201705
112.952246,24.713467,19.625,4,201705
112.965083,24.713467,20.424999999999997,4,201705
112.97792,24.713467,20.925000000000004,4,201705
112.990757,24.713467,21.15,4,201705
113.003594,24.713467,21.3,4,201705
112.84955,24.721937,20.775000000000002,4,201705
112.862387,24.721937,19.975,4,201705
112.875224,24.721937,18.225,4,201705
112.888061,24.721937,17.424999999999997,4,201705
112.900898,24.721937,17.35,4,201705
112.913735,24.721937,17.925,4,201705
112.926572,24.721937,18.225,4,201705
112.939409,24.721937,18.6,4,201705
112.952246,24.721937,19.424999999999997,4,201705
112.965083,24.721937,20.075,4,201705
112.97792,24.721937,20.775000000000002,4,201705
112.990757,24.721937,20.925,4,201705
113.003594,24.721937,21.2,4,201705
112.862387,24.730407,20.0,4,201705
112.875224,24.730407,18.5,4,201705
112.888061,24.730407,18.05,4,201705
112.900898,24.730407,17.9,4,201705
112.913735,24.730407,18.450000000000003,4,201705
112.926572,24.730407,18.075000000000003,4,201705
112.939409,24.730407,18.7,4,201705
112.952246,24.730407,19.375,4,201705
112.965083,24.730407,20.15,4,201705
112.97792,24.730407,20.6,4,201705
112.990757,24.730407,20.925,4,201705
113.003594,24.730407,21.25,4,201705
112.84955,24.738877,21.25,4,201705
